id	name	institution_id	photo	roles	expertise_en	expertise_nn	profile_url
vibeke-stockinger-lundetra 	Vibeke Stockinger Lundetræ 	uio	docs/assets/images/people/ 	curation	Library And Information Science	bibliotek og informasjonsvitenskap	https://www.ub.uio.no/om/ansatte/sam/metsam/vibeksl/index.html
elin-stangeland	Elin Stangeland	uis	docs/assets/images/people/ 	collection-management;curation	Library And Information Science; Information Systems; Knowledge Management; Open Science	bibliotek- og informasjonsvitenskap; informasjonssystemer; kunnskapsforvaltning; åpen forskning	https://www.uis.no/nb/profile/elin-stangeland
john-david-didriksen	John David Didriksen	uis	docs/assets/images/people/john-david-didriksen.jpg	curation	Reference Management; Research Data Management; Scientific Publishing	referansehåndtering; forskningsdatahåndtering; publisering	https://www.uis.no/nb/profile/john-david-didriksen
linda-johnsen	Linda Johnsen	uis	docs/assets/images/people/ 	curation			
johanne-raade	Johanne Raade	uit	docs/assets/images/people/ 	board			https://uit.no/ansatte/johanne.raade
christine-dybwad	Christine Dybwad	uit	docs/assets/images/people/christine-dybwad.jpg	collection-management;curation	Rdm; Biosciences; Engineering; Technology And Saftey; Polar Research	forskningsdatahåndtering; biovitenskap; ingeniørfag; tekonologi og sikkerhet; polarforskning	https://uit.no/ansatte/christine.dybwad
andreas-klein	Andreas Klein	uit	docs/assets/images/people/ 	curation			
anna-karpova	Anna Karpova	uit	docs/assets/images/people/anna-karpova.jpeg	curation	Economics; Tourism; Research Data Management; Bibliometrics	økonomi; reiseliv; forskningsdatahåndtering; bibliometri	https://uit.no/ansatte/anna.karpova
gulbrand-stalet-nilsen	Gulbrand Stålet Nilsen	uit	docs/assets/images/people/gulbrand-stalet-nilsen.jpeg	curation	Chemistry; Biochemistry; Mathematics; Statistics; Electronic Lab Notebooks (Eln)	kjemi; biokjemi; farmasi; matematikk og statistikk; electronic lab notebooks (eln)	https://uit.no/ansatte/gulbrand.s.nilsen
huw-haugland-grange	Huw Haugland-Grange	uit	docs/assets/images/people/ 	curation			
ireen-vieweg	Ireen Vieweg	uit	docs/assets/images/people/ 	curation			
melanie-karlsson	Melanie Karlsson	uit	docs/assets/images/people/melanie-karlsson.jpeg	curation	Geosciences; Research Data Management	geovitenskap; forskningsdatahåndtering	https://uit.no/ansatte/person?p_document_id=876111
karl-magnus-nilsen	Karl Magnus Nilsen	uit	docs/assets/images/people/ 	repository-management			
obiajulu-odu	Obiajulu Odu	uit	docs/assets/images/people/ 	repository-management			
philipp-conzett	Philipp Conzett	uit	docs/assets/images/people/philipp-conzett.jpg	repository-management	Linguistics; Research Data Management; Repository Management; Research Infrastructure	lingvistikk; språkvitskap; forskingsdatahandtering; arkivforvaltning; forskingsinfrastruktur	https://uit.no/ansatte/philipp.conzett
rieke-lo-madsen	Rieke Lo Madsen	uit	docs/assets/images/people/rieke-lo-madsen.jpg	repository-management	Forest Ecology; Plant Biology	skogøkologi; plantebiologi	https://uit.no/ansatte/rieke.l.madsen
rolf-andersen	Rolf Andersen	uit	docs/assets/images/people/ 	repository-management			
sebastian-tendstrand-iversen	Sebastian Tendstrand Iversen	uit	docs/assets/images/people/ 	repository-management			
tom-nilsen	Tom Nilsen	usn	docs/assets/images/people/ 	collection-management;curation	Sports; Nutrition And Medicine	idrettsfag; ernæring og medisin	https://www.usn.no/kontakt-oss/ansatte/tom-erik-nilsen
ahmet-dogan	Ahmet Dogan	usn	docs/assets/images/people/ 	curation	Software Development For Research Data And Archieving; Integration Of Artificial Intelligence 	programvareutvikling for forskningsdata og dataarkivering; integrering av kunstig intelligens 	https://www.usn.no/ansatte/ahmet-dogan-article239853-6688.html
ali-abdurhman-kelil	Ali Abdurhman Kelil	usn	docs/assets/images/people/ 	curation	Metadata And Documentation; Data Archiving And Preservation; Data Sharing And Reuse; Data Management Planning; Data Curation; Research Data Management	metadata og dokumentasjon; dataarkivering og langtidsbevaring; datadeling og gjenbruk av data; datahåndteringsplaner; datakuratering; forskningsdatahåndtering	https://www.usn.no/kontakt-oss/ansatte/abdurhman-kelil-ali-1
dag-even-martinsen-torsoe	Dag-Even Martinsen Torsøe	usn	docs/assets/images/people/ 	curation	Research Data Management; Data Archiving And Preservation Og Metadata And Documentation	forskningsdatahåndtering; dataarkivering og langtidsbevaring; metadata og dokumentasjon	https://www.usn.no/kontakt-oss/ansatte/dag-even-martinsen-torsoe
jennifer-lea-thogersen	Jennifer Lea Thøgersen	vid	docs/assets/images/people/jennifer-lea-thogersen.jpg	collection-management;curation	Library And Information Science; Research Data Management	bibliotek og informasjonsvitenskap; forskningsdatahåndtering	https://www.vid.no/ansatte/jennifer-thogersen
